Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7
Rank,Theta_PR,Na,University,CC,LC,FC
271,89,1,University of Gdańsk,PL,PL,20
272,89,1,Payame Noor University,IR,FA,20
273,88,2,University of Greenland,GL,DA,20
274,88,1,Gazi University,TR,TR,20
275,88,1,Universiti Putra Malaysia,MY,MS,20
276,88,1,University of Córdoba (Colombia),CO,ES,20
277,88,1,Prince of Songkla University,TH,TH,20
278,88,1,Pantheon-Sorbonne University,FR,FR,20
279,88,1,Luleå University of Technology,SE,SV,20
280,88,1,Harokopio University,GR,EL,20
281,88,1,DIT University,IN,HI,20
282,87,2,Brandeis University,US,EN,20
283,87,1,Sungkyunkwan University,KR,KO,14
284,87,1,University of Miskolc,HU,HU,18
285,87,1,University of Kharkiv,UA,WR,19
286,87,1,Vrije Universiteit Brussel,BE,NL,19
287,87,1,University of Lisbon,PT,PT,20
288,87,1,American University in Cairo,EG,AR,20
289,87,1,Magadh University,IN,HI,20
290,87,1,Bangkok University,TH,TH,20
291,86,2,Bauman Moscow State Technical University,RU,RU,19
292,86,1,Ewha Womans University,KR,KO,19
293,86,1,Mahachulalongkornrajavidyalaya University,TH,TH,19
294,86,1,Erasmus University Rotterdam,NL,NL,20
295,86,1,King Saud University,SA,AR,20
296,86,1,University of Brasília,BR,PT,20
297,86,1,University of Silesia in Katowice,PL,PL,20
298,86,1,Jawaharlal Nehru University,IN,HI,20
299,86,1,National University of Luján,AR,ES,20
300,86,1,University of the Aegean,GR,EL,20
301,85,4,University of Bristol,UK,EN,20
302,85,1,Scuola Normale Superiore di Pisa,IT,IT,19
303,85,1,University of Indonesia,ID,WR,19
304,85,1,University of Antwerp,BE,NL,19
305,85,1,Hokkaido University,JP,JA,19
306,85,1,Université de Montréal,CA,EN,19
307,85,1,Maria Curie-Skłodowska University,PL,PL,20
308,85,1,University of Baghdad,IQ,AR,20
309,85,1,Lalit Narayan Mithila University,IN,HI,20
310,85,1,Democritus University of Thrace,GR,EL,20
311,85,1,Bilkent University,TR,TR,20
312,84,1,University of Mumbai,IN,HI,19
313,84,1,University of Carabobo,VE,ES,19
314,84,1,Wuhan University,CN,ZH,19
315,84,1,Ritsumeikan University,JP,JA,19
316,84,1,Ferdowsi University of Mashhad,IR,FA,20
317,84,1,University of Ioannina,GR,EL,20
318,84,1,Kuwait University,KW,AR,20
319,84,1,Odense University,DK,DA,20
